CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MOTOR VEHICLE THEFT,09/15/2017 12:00:00 AM,17-048419,VEHICLE THEFT - AUTO,24X,2400 38TH AV,Oakland,CA,"2400 38TH AV
Oakland, CA
(37.78398, -122.209652)"
ROBBERY,11/13/2017 10:09:00 PM,17-059939,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,9700 INTERNATIONAL BLVD,Oakland,CA,"9700 INTERNATIONAL BLVD
Oakland, CA
(37.745093, -122.170975)"
THEFT/LARCENY,10/30/2017 12:37:00 PM,17-917163,BURGLARY-AUTO,29X,3300 61ST AVE,Oakland,CA,"3300 61ST AVE
Oakland, CA
(37.775583, -122.182284)"
THEFT/LARCENY,09/15/2017 10:00:00 PM,17-048572,BURGLARY-AUTO,16Y,4700 PARK BLVD,Oakland,CA,"4700 PARK BLVD
Oakland, CA
(37.811068, -122.215764)"
THEFT/LARCENY,09/13/2017 03:30:00 AM,17-914400,BURGLARY-AUTO,08X,3700 MANILA AVE,Oakland,CA,"3700 MANILA AVE
Oakland, CA
(37.824851, -122.259731)"
MOTOR VEHICLE THEFT,09/19/2017 02:09:00 PM,17-049198,VEHICLE THEFT - AUTO,26Y,1100 77TH AV,Oakland,CA,"1100 77TH AV
Oakland, CA
(37.755095, -122.188223)"
ASSAULT,09/30/2017 11:56:00 PM,17-051298,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3600 MANDELA PKWY,Oakland,CA,"3600 MANDELA PKWY
Oakland, CA
(37.827326, -122.289221)"
BURGLARY,09/30/2017 07:30:00 PM,17-051369,BURGLARY-NO FORCE,10X,1100 STANFORD AV,Oakland,CA,"1100 STANFORD AV
Oakland, CA
(37.840961, -122.283123)"
THEFT/LARCENY,10/01/2017 03:02:00 AM,17-051325,GRAND THEFT,31X,8100 OAKPORT ST,Oakland,CA,"8100 OAKPORT ST
Oakland, CA
(37.742201, -122.198474)"
THEFT/LARCENY,11/09/2017 07:00:00 PM,17-917863,BURGLARY-AUTO,25X,4000 MACARTHUR BOULEVARD,Oakland,CA,"4000 MACARTHUR BOULEVARD
Oakland, CA
(37.79043, -122.197613)"
THEFT/LARCENY,11/10/2017 08:10:00 PM,17-917909,BURGLARY-AUTO,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ASSAULT,09/30/2017 06:00:00 PM,17-051411,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,9200 BANCROFT AV,Oakland,CA,"9200 BANCROFT AV
Oakland, CA
(37.752368, -122.16464)"
ASSAULT,10/01/2017 03:20:00 AM,17-051324,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,17X,500 E 20TH ST,Oakland,CA,"500 E 20TH ST
Oakland, CA
(37.79957, -122.248145)"
BURGLARY,10/02/2017 12:38:00 AM,17-051483,BURGLARY-FORCIBLE ENTRY,09X,4300 PIEDMONT AV,Oakland,CA,"4300 PIEDMONT AV
Oakland, CA
(37.828947, -122.249056)"
MOTOR VEHICLE THEFT,09/06/2017 08:00:00 PM,17-047030,VEHICLE THEFT - AUTO,25X,3700 HIGH ST,Oakland,CA,"3700 HIGH ST
Oakland, CA
(37.78852, -122.192358)"
THEFT/LARCENY,09/25/2017 09:45:00 PM,17-915171,BURGLARY-AUTO,16X,700 ROSAL AVE,Oakland,CA,"700 ROSAL AVE
Oakland, CA
(37.813035, -122.237262)"
ASSAULT,11/03/2017 08:30:00 AM,17-057739,BATTERY,27X,4600 TYRRELL ST,Oakland,CA,"4600 TYRRELL ST
Oakland, CA
(37.77847, -122.206189)"
ASSAULT,10/21/2017 12:55:00 AM,17-055232,BATTERY,31Y,400 JONES AV,Oakland,CA,"400 JONES AV
Oakland, CA
(37.734829, -122.1889)"
THEFT/LARCENY,11/08/2017 06:40:00 PM,17-058803,BURGLARY-AUTO,12X,5000 TELEGRAPH AV,Oakland,CA,"5000 TELEGRAPH AV
Oakland, CA
(37.83653, -122.262463)"
ASSAULT,10/01/2017 01:35:00 AM,17-051316,BATTERY,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA,"2200 MARTIN LUTHER KING JR W
Oakland, CA
"
BURGLARY,09/29/2017 08:38:00 AM,17-051075,BURGLARY-FORCIBLE ENTRY,31Z,10400 PATRICIA CT,Oakland,CA,"10400 PATRICIA CT
Oakland, CA
(37.732694, -122.179475)"
THEFT/LARCENY,09/12/2017 09:30:00 PM,17-914386,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,"8300 OAKPORT ST
Oakland, CA
(37.740775, -122.198319)"
MOTOR VEHICLE THEFT,09/29/2017 10:00:00 PM,17-051467,VEHICLE THEFT - AUTO,16X,900 SUNNYHILLS RD,Oakland,CA,"900 SUNNYHILLS RD
Oakland, CA
(37.808625, -122.233842)"
DRUGS/ALCOHOL VIOLATIONS,10/02/2017 08:16:00 AM,17-051511,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,05X,1900 POPLAR ST,Oakland,CA,"1900 POPLAR ST
Oakland, CA
(37.81323, -122.28823)"
THEFT/LARCENY,09/12/2017 01:50:00 PM,17-914371,BURGLARY-AUTO,12Y,5200 LAWTON AVE,Oakland,CA,"5200 LAWTON AVE
Oakland, CA
(37.837262, -122.255741)"
ASSAULT,10/01/2017 10:17:00 PM,17-051462,ASSAULT WITH FIREARM ON PERSON,30Y,82ND AVE AND MACARTHUR BLVD,Oakland,CA,"82ND AVE AND MACARTHUR BLVD
Oakland, CA
(37.762689, -122.164885)"
MOTOR VEHICLE THEFT,11/15/2017 08:00:00 PM,17-059954,VEHICLE THEFT - AUTO,07X,3600 MANDELA PKWY,Oakland,CA,"3600 MANDELA PKWY
Oakland, CA
(37.827326, -122.289221)"
THEFT/LARCENY,09/13/2017 05:00:00 AM,17-914403,THEFT,12Y,300 ALCATRAZ AVE,Oakland,CA,"300 ALCATRAZ AVE
Oakland, CA
(37.851176, -122.253096)"
THEFT/LARCENY,10/19/2017 07:45:00 AM,17-054871,BURGLARY-AUTO,14X,400 MACARTHUR BLVD,Oakland,CA,"400 MACARTHUR BLVD
Oakland, CA
(37.817402, -122.252909)"
ASSAULT,09/27/2017 01:00:00 PM,17-051326,BATTERY,25X,5100 LEONA ST,Oakland,CA,"5100 LEONA ST
Oakland, CA
(37.787913, -122.176314)"
THEFT/LARCENY,11/09/2017 12:00:00 AM,17-917821,BURGLARY-AUTO,14X,300 VERNON ST,Oakland,CA,"300 VERNON ST
Oakland, CA
(37.814771, -122.257055)"
MOTOR VEHICLE THEFT,10/26/2017 12:30:00 PM,17-056252,VEHICLE THEFT - AUTO,04X,1400 FRANKLIN ST,Oakland,CA,"1400 FRANKLIN ST
Oakland, CA
(37.804113, -122.269801)"
THEFT/LARCENY,11/02/2017 10:30:00 AM,17-057746,THEFT,07X,2600 MYRTLE ST,Oakland,CA,"2600 MYRTLE ST
Oakland, CA
(37.817757, -122.278603)"
ASSAULT,09/29/2017 10:18:00 PM,17-051163,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,26Y,1200 64TH AV,Oakland,CA,"1200 64TH AV
Oakland, CA
(37.761391, -122.19884)"
BURGLARY,11/14/2017 08:00:00 AM,17-059724,BURGLARY-NO FORCE,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
MOTOR VEHICLE THEFT,11/01/2017 10:30:00 AM,17-057352,VEHICLE THEFT - AUTO,32Y,2500 109TH AV,Oakland,CA,"2500 109TH AV
Oakland, CA
(37.740831, -122.151431)"
ROBBERY,09/30/2017 06:50:00 PM,17-051269,CARJACKING WITH FIREARM,21Y,2700 BONA ST,Oakland,CA,"2700 BONA ST
Oakland, CA
(37.792729, -122.220687)"
ASSAULT,10/20/2017 07:00:00 PM,17-055184,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,800 CAMPBELL VILLAGE CT,Oakland,CA,"800 CAMPBELL VILLAGE CT
Oakland, CA
(37.807536, -122.299751)"
THEFT/LARCENY,09/13/2017 11:45:00 AM,17-048050,BURGLARY-AUTO,13Z,6300 MORAGA AV,Oakland,CA,"6300 MORAGA AV
Oakland, CA
(37.828643, -122.212573)"
THEFT/LARCENY,09/11/2017 06:00:00 PM,17-914404,GRAND THEFT,14X,500 GRAND AVE,Oakland,CA,"500 GRAND AVE
Oakland, CA
(37.808596, -122.251324)"
THEFT/LARCENY,10/29/2017 04:05:00 PM,17-917850,THEFT,08X,100 GRAND AVE,Oakland,CA,"100 GRAND AVE
Oakland, CA
(37.811432, -122.265382)"
VANDALISM,09/12/2017 06:00:00 AM,17-914390,VANDALISM,08X,400 FAIRMOUNT AVE,Oakland,CA,"400 FAIRMOUNT AVE
Oakland, CA
(37.819087, -122.256409)"
THEFT/LARCENY,09/21/2017 08:20:00 AM,17-914862,BURGLARY-AUTO,27X,5300 YGNACIO AV,Oakland,CA,"5300 YGNACIO AV
Oakland, CA
(37.773492, -122.200778)"
MOTOR VEHICLE THEFT,10/20/2017 12:00:00 AM,17-055189,VEHICLE THEFT - AUTO,26Y,1000 77TH AV,Oakland,CA,"1000 77TH AV
Oakland, CA
(37.753656, -122.190433)"
ROBBERY,09/30/2017 09:54:00 PM,17-051289,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12X,5000 TELEGRAPH AV,Oakland,CA,"5000 TELEGRAPH AV
Oakland, CA
(37.83653, -122.262463)"
MOTOR VEHICLE THEFT,10/02/2017 03:00:00 AM,17-051509,VEHICLE THEFT - AUTO,10Y,800 46TH ST,Oakland,CA,"800 46TH ST
Oakland, CA
(37.834714, -122.26994)"
THEFT/LARCENY,11/14/2017 08:30:00 PM,17-059910,BURGLARY-AUTO,05X,1100 16TH ST,Oakland,CA,"1100 16TH ST
Oakland, CA
(37.810807, -122.284469)"
FRAUD,09/11/2017 02:00:00 PM,17-914391,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,1800 E 18TH ST,Oakland,CA,"1800 E 18TH ST
Oakland, CA
"
THEFT/LARCENY,09/12/2017 07:55:00 PM,17-914395,BURGLARY-AUTO,03X,300 12TH ST,Oakland,CA,"300 12TH ST
Oakland, CA
(37.796603, -122.256523)"
THEFT/LARCENY,10/14/2017 07:17:00 PM,17-054199,GRAND THEFT,32X,10900 INTERNATIONAL BLVD,Oakland,CA,"10900 INTERNATIONAL BLVD
Oakland, CA
(37.73672, -122.164746)"
THEFT/LARCENY,11/09/2017 09:00:00 PM,17-917870,GRAND THEFT,11X,600 66TH ST,Oakland,CA,"600 66TH ST
Oakland, CA
(37.85165, -122.263199)"
THEFT/LARCENY,10/25/2017 04:30:00 PM,17-056149,BURGLARY-AUTO,18Y,2200 E 22ND ST,Oakland,CA,"2200 E 22ND ST
Oakland, CA
(37.79042, -122.232387)"
FRAUD,09/01/2017 12:00:00 AM,17-914415,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,08X,400 W GRAND AVE,Oakland,CA,"400 W GRAND AVE
Oakland, CA
(37.81154, -122.266726)"
MOTOR VEHICLE THEFT,09/17/2017 11:30:00 PM,17-049090,VEHICLE THEFT - AUTO,25X,4500 MACARTHUR BLVD,Oakland,CA,"4500 MACARTHUR BLVD
Oakland, CA
(37.785529, -122.192085)"
ASSAULT,10/01/2017 07:00:00 AM,17-051337,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25X,4400 MACARTHUR BLVD,Oakland,CA,"4400 MACARTHUR BLVD
Oakland, CA
(37.786628, -122.19406)"
MOTOR VEHICLE THEFT,09/30/2017 09:56:00 PM,17-051290,VEHICLE THEFT - AUTO,02X,1100 8TH ST,Oakland,CA,"1100 8TH ST
Oakland, CA
(37.804694, -122.287201)"
THEFT/LARCENY,09/26/2017 12:10:00 PM,17-915157,BURGLARY-AUTO,01X,500 3RD ST,Oakland,CA,"500 3RD ST
Oakland, CA
(37.797189, -122.277105)"
ASSAULT,10/26/2017 12:00:00 PM,17-056245,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26X,4900 TIDEWATER AV,Oakland,CA,"4900 TIDEWATER AV
Oakland, CA
(37.763086, -122.220651)"
ASSAULT,09/30/2017 09:20:00 PM,17-051295,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,2400 HUMBOLDT AVE,Oakland,CA,"2400 HUMBOLDT AVE
Oakland, CA
(37.788193, -122.213691)"
DRUGS/ALCOHOL VIOLATIONS,09/18/2017 05:14:00 PM,17-049031,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,3400 SAN PABLO AV,Oakland,CA,"3400 SAN PABLO AV
Oakland, CA
(37.825396, -122.277983)"
MOTOR VEHICLE THEFT,10/21/2017 03:26:00 AM,17-055244,VEHICLE THEFT - AUTO,33X,8300 BLOCK OF SAN LEANDRO ST,Oakland,CA,"8300 BLOCK OF SAN LEANDRO ST
Oakland, CA
(37.748413, -122.190737)"
MOTOR VEHICLE THEFT,10/25/2017 05:00:00 PM,17-056258,VEHICLE THEFT - AUTO,14Y,500 GLENVIEW AV,Oakland,CA,"500 GLENVIEW AV
Oakland, CA
(37.812439, -122.245239)"
ROBBERY,10/20/2017 08:00:00 PM,17-055229,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,600 14TH ST,Oakland,CA,"600 14TH ST
Oakland, CA
(37.805808, -122.274933)"
THEFT/LARCENY,09/12/2017 05:30:00 PM,17-914354,BURGLARY-AUTO,09X,4000 PIEDMONT AVE,Oakland,CA,"4000 PIEDMONT AVE
Oakland, CA
(37.825445, -122.253685)"
THEFT/LARCENY,09/11/2017 07:15:00 PM,17-914414,BURGLARY-AUTO,03Y,900 WASHINGTON ST,Oakland,CA,"900 WASHINGTON ST
Oakland, CA
(37.801348, -122.274569)"
VANDALISM,09/08/2017 08:15:00 AM,17-914410,VANDALISM,30Y,7200 BANCROFT AVE,Oakland,CA,"7200 BANCROFT AVE
Oakland, CA
(37.766093, -122.177258)"
DUI,11/02/2017 06:48:00 PM,17-057641,DUI ALCOHOL/DRUGS,35Y,4200 KELLER AV,Oakland,CA,"4200 KELLER AV
Oakland, CA
(37.771938, -122.153523)"
MOTOR VEHICLE THEFT,10/02/2017 11:28:00 AM,17-051540,VEHICLE THEFT - AUTO,06X,3800 LUSK ST,Oakland,CA,"3800 LUSK ST
Oakland, CA
(37.828722, -122.272424)"
THEFT/LARCENY,09/11/2017 08:00:00 PM,17-914364,BURGLARY-AUTO,,BIRCH COURT,Oakland,CA,"BIRCH COURT
Oakland, CA
"
DISTURBING THE PEACE,11/07/2017 12:15:00 PM,17-917878,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,28X,2900 MAXWELL AVE,Oakland,CA,"2900 MAXWELL AVE
Oakland, CA
(37.779772, -122.194879)"
MOTOR VEHICLE THEFT,09/24/2017 07:00:00 PM,17-051207,VEHICLE THEFT - AUTO,32Y,10000 MACARTHUR BLVD,Oakland,CA,"10000 MACARTHUR BLVD
Oakland, CA
(37.745832, -122.156028)"
ASSAULT,10/20/2017 08:40:00 PM,17-055194,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,5100 BANCROFT AV,Oakland,CA,"5100 BANCROFT AV
Oakland, CA
(37.771773, -122.204876)"
THEFT/LARCENY,09/23/2017 12:00:00 PM,17-049140,THEFT,33X,1000 82ND AV,Oakland,CA,"1000 82ND AV
Oakland, CA
(37.752426, -122.185227)"
ROBBERY,09/25/2017 06:00:00 AM,17-051262,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",07X,1600 32ND ST,Oakland,CA,"1600 32ND ST
Oakland, CA
(37.823244, -122.287934)"
THEFT/LARCENY,10/27/2017 01:20:00 PM,17-917182,THEFT,32Y,9800 SUNNYSIDE ST,Oakland,CA,"9800 SUNNYSIDE ST
Oakland, CA
(37.747887, -122.162905)"
WEAPONS,10/21/2017 09:47:00 AM,17-055280,CARRY STOLEN LOADED FIREARM,21X,1800 25TH AV,Oakland,CA,"1800 25TH AV
Oakland, CA
(37.784648, -122.230702)"
ROBBERY,09/17/2017 11:50:00 PM,17-048879,ROBBERY-FIREARM,20X,3000 E 18TH ST,Oakland,CA,"3000 E 18TH ST
Oakland, CA
(37.782308, -122.224633)"
THEFT/LARCENY,09/10/2017 04:00:00 PM,17-914346,THEFT,31Y,600 HEGENBERGER ROAD,Oakland,CA,"600 HEGENBERGER ROAD
Oakland, CA
(37.744964, -122.195947)"
DUI,10/01/2017 02:21:00 AM,17-051320,DUI ALCOHOL/DRUGS WITH DEATH/BODILY INJURY (AMENDED),08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811615, -122.269048)"
FRAUD,11/10/2017 08:00:00 PM,17-917839,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,27Y,1600 51ST AVE,Oakland,CA,"1600 51ST AVE
Oakland, CA
(37.770256, -122.207005)"
MOTOR VEHICLE THEFT,09/06/2017 11:10:00 AM,17-046832,VEHICLE THEFT - AUTO,34X,1400 89TH AV,Oakland,CA,"1400 89TH AV
Oakland, CA
(37.750412, -122.174733)"
ASSAULT,10/26/2017 11:40:00 PM,17-056146,BATTERY:SERIOUS BODILY INJ,19X,1100 4TH AV,Oakland,CA,"1100 4TH AV
Oakland, CA
(37.795125, -122.256573)"
MOTOR VEHICLE THEFT,09/30/2017 02:00:00 PM,17-051441,VEHICLE THEFT - AUTO,18X,1900 BLOCK OF E. 30TH STREET,Oakland,CA,"1900 BLOCK OF E. 30TH STREET
Oakland, CA
(37.798109, -122.229658)"
MOTOR VEHICLE THEFT,09/24/2017 02:00:00 PM,17-050177,VEHICLE THEFT - AUTO,26X,5400 COLISEUM WY,Oakland,CA,"5400 COLISEUM WY
Oakland, CA
(37.762788, -122.212525)"
ASSAULT,09/29/2017 05:00:00 PM,17-051133,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,24X,3700 BROOKDALE AV,Oakland,CA,"3700 BROOKDALE AV
Oakland, CA
(37.786247, -122.208417)"
ROBBERY,09/18/2017 02:00:00 AM,17-048888,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12X,4500 TELEGRAPH AV,Oakland,CA,"4500 TELEGRAPH AV
Oakland, CA
(37.833126, -122.263328)"
WEAPONS,09/18/2017 04:15:00 PM,17-049020,HAVE FIREARM AT PUBLIC/ETC SCHOOL,31Z,10500 TOPANGA DR,Oakland,CA,"10500 TOPANGA DR
Oakland, CA
(37.728576, -122.180968)"
MOTOR VEHICLE THEFT,10/21/2017 11:03:00 AM,17-055287,VEHICLE THEFT - AUTO,20X,2700 11TH ST,Oakland,CA,"2700 11TH ST
Oakland, CA
"
THEFT/LARCENY,09/11/2017 08:00:00 PM,17-914397,BURGLARY-AUTO,12Y,5800 COLLEGE AVE,Oakland,CA,"5800 COLLEGE AVE
Oakland, CA
(37.84619, -122.251954)"
MOTOR VEHICLE THEFT,11/02/2017 04:15:00 PM,17-057682,VEHICLE THEFT - AUTO,30Y,7900 NEY AV,Oakland,CA,"7900 NEY AV
Oakland, CA
(37.765868, -122.165711)"
VANDALISM,09/12/2017 09:40:00 AM,17-914407,VANDALISM,01X,400 ALICE ST,Oakland,CA,"400 ALICE ST
Oakland, CA
(37.795847, -122.270554)"
ASSAULT,10/02/2017 02:20:00 AM,17-051490,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,12Y,6300 COLLEGE AVE,Oakland,CA,"6300 COLLEGE AVE
Oakland, CA
(37.850346, -122.252379)"
VANDALISM,09/26/2017 09:00:00 AM,17-915183,VANDALISM,19X,100 EMBARCADERO,Oakland,CA,"100 EMBARCADERO
Oakland, CA
(37.791482, -122.266034)"
ASSAULT,10/01/2017 08:28:00 PM,17-051448,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26X,4500 INTERNATIONAL BLVD,Oakland,CA,"4500 INTERNATIONAL BLVD
Oakland, CA
(37.7713, -122.212663)"
MOTOR VEHICLE THEFT,09/09/2017 05:00:00 PM,17-047449,VEHICLE THEFT - AUTO,19X,1800 INTERNATIONAL BLVD,Oakland,CA,"1800 INTERNATIONAL BLVD
Oakland, CA
(37.786924, -122.241826)"
THEFT/LARCENY,11/10/2017 06:00:00 PM,17-917912,BURGLARY-AUTO,12Y,5400 COLLEGE AVE,Oakland,CA,"5400 COLLEGE AVE
Oakland, CA
(37.840313, -122.251336)"
